Quest,Review,Popular,Another,Questslink
Помогите найти фильм по описанию,"Помогите найти фильм, пожалуйста\nВидела только рекламу\nДевушка с парнем снимают одну квартиру, чтобы сэкономить, она живет там днем, а он ночью, они ни разу друг друга не видели и общаются через стикеры. Там еще постер где девушка сидит на кровати, а за ней розовая стена со стикерами, парень сидит на этой же кровати и за ним голубая стена со стикерами.",Flatshare/Квартира на двоих-грядущий британский сериал,"['Описание фильма звучит как загадка я бы так фильм и назвал, попробуйте поискать']",https://otvet.mail.ru/question/230802986
Найти фильм про Закон Мерфи,"Как называется фильм от никелодеон, где рассказывается о девушке Мерфи и об ее семья, но где еще фигурирует проклятие неудачи(не сериал или тот фильм 1986 г)","Сглазили/Jinxed (2013)\n https//www.kinopoisk.ru/film/764601/ \nМного поколений назад семью Мёрфи сглазили. Мэг Мёрфи отправляется в путешествие, чтобы разрушить проклятие и зажить нормальной жизнью, о которой она всегда мечтала.",[],https://otvet.mail.ru/question/228960094
,,американский психопат,"['Описание, которое мы заслужили', 'Я думаю, что это', 'Отличная шутка!\\nЭто было в самом низу ', 'для тебя - порнуха. твой уровень.']",https://otvet.mail.ru/question/234431546
Помогите найти фильм по описанию,"Фильм 1990-2005 года (могу ошибаться). Из сюжета помню 1 момент, который был скорее всего в конце фильма. В общем главный герой пытается обезвредить бомбу в небоскребе, но ему это не удается, и он прыгает в трубу, скользя по ней вылетает и приземляется в бассейн на крыше другого небоскреба, тем самым спасаясь от взрыва.   \nФильм смотрел очень давно, и помню все максимально расплывчато, поэтому мог неточно описать.",Маша и медведь,[],https://otvet.mail.ru/question/234659711
Если раньше делали хорошие фильмы то где щас можно найти аналогичные новые фильмы,например один дома один дома 2такси 1 такси 2такси 3люди Хбетмензвездные врата,такого ты никогда и нигде больше не увидишь,"['Нигде', 'на порнохабе', 'Человек гавнюк', 'Мимо', 'У них своя атмосфера была,сейчас время другое..', 'Один дома - Гляди по сторонам (намного круче)))\\nТакси 1-4  - Такси - 5\\nБетмен - вааще параша, кроме фильмов с Николсоном и де Вито (там хоть актёры реальные)...кто такое смотрит? Для детей скушна, для взрослых - тупо...Ну....пусть будет....Человек-муравей)))\\nЗвёздные врата - Интерстеллар', 'В Голливуде!']",https://otvet.mail.ru/question/233833251
Помогите найти фильм,"Фильм про любовь, шел на тнт недавно, где девушка в анонсе спрашивала ,,я самая некрасивая из всех с кем ты встречался?,, больше ничего о фильме не помню.",По-моему это был фильм под названием Красавчик (2007 года),"['Камеди Клаб походу это было', 'Дом 2', 'Рад бы помочь,но не помню именно эту фразу, а больше вы ничего не помните...']",https://otvet.mail.ru/question/232332036
,"Когда-то давно я видела краткий пересказ этого фильма на ютубе, но название забыла и то видео, к сожалению, найти не смогла. \nСам фильм начинается с того, что в каком-то секретном агентстве есть девочки и их учат драться, стрелять и всему подобному. Постепенно они взрослеют и нескольких из них отправляют на какое-то задание, в ходе которого главная героиня отделяет от группы (она то-ли потерялась, то-ли ее забрать не смогли. Уже не помню.) В итоге, она каким-то образом попадает в обычную семью (как она туда попала тоже не помню). В этой семье есть девушка её же возраста и они постепенно сдружиются, а главная героиня узнает как живут обычные люди (в том агентстве она была вроде с самого рождения). Затем за главной героиней приходят люди из секретного агентства, чтобы её забрать. А дальше уже не помню. Помогите найти фильм",Особо опасна (2014) Barely Letha\n https//www.kinopoisk.ru/film/568836/,"['Бойцовский клуб', 'ангелы чарли']",https://otvet.mail.ru/question/234504515
Помогите найти фильм,"Здравствуйте. Задача не простая помню только у речки или озера это было, какая-то деревушка у озера или речки, какие-то трапики в воду из досок старых (типа причалы), колдовство было, тьма была, там вроде превращались в каких-то зомби или воскрешали из мертвых",ВИЙ - современная версия\n\nЭто в первой части\n\nТам ТРИ фильма \n\nВот все части\n---,[],https://otvet.mail.ru/question/233951829
Помогите найти фильм,"В общем наверное один в своём роде ,опишу точно \nТам в общем жанр фантастика ",Вторжение пришельцев S.U.M.1 (2017)\n https//www.kinopoisk.ru/film/881156/,[],https://otvet.mail.ru/question/231752298
,"Девочка из страны третьего мира (Иран, Ирак, Афган) очень хотела ходить в школу. Но денег на тетрадь и ручку не было. Её мама пекла лепешки. Девочка продала лепёшки за тетрадь. На ручку денег не хватило, пришлось купить помаду. Она пошла с помадой и тетрадью на урок, но учитель выгнал её из класса, а ученики засмеяли. После школы дети избили девочку. \nФильм смотрел в детстве, плакал, сейчас хочу найти и пересмотреть. Помогите, пожалуйста.","Где то я видел, ну не помню",['Не смотрел про девочку'],https://otvet.mail.ru/question/230254515
,"Ищу фильм, где связываются оба разных людей во времени в центральном вокзале Нью Йорка, один из них детектив NYPD.  Там короче чувак понимает что у него день сурка, пока он не оказывается в центральном вокзале Нью Йорка, где 30 лет назад застрелили детектива полиции, с которым его связывает судьба. Типа там это они но в будущем хз как объяснить, он ещё главный герой на зеркале рисовал формулы какие то.",и что за фильм?,[],https://otvet.mail.ru/question/233620253
Помогите найти фильм,Не могу найти фильм. Суть такая. Беременная женщина попадает в аварию на автомобиле. (Вроде бы она полицейская). При аварии она потеряла ребенка. Сильно повредила лицо. Были выбиты зубы. Восстанавливать ее здоровье взялся врач-пластический хирург. У женщины был муж,0,[],https://otvet.mail.ru/question/233236256
Помогите найти фильм,"Сюжет, где в жизни парня появляется красивая девушка (в фильме она еще ела мороженое), они спят",Название - Мама,['а когда вы его смотрели.'],https://otvet.mail.ru/question/234661041
Помогите найти фильм,Фильм про охранника любовницы мафиози который ее убил в конце фильма чтоб она не играла роль в театральной постановке потому что она бездарность. Мафиози купил ей театр и пъесу чтоб угодить ее желанию стать актрисой. Постановка гениальна а актриса нет. Охранник возил ее каждый день на репетиции и проникся пъесой но не игрой главной героини. В день премьеры он убивает ее чтоб не портить постановку. Он говорит что дублерша играет лучше.,0,[],https://otvet.mail.ru/question/230825873
Помогите пожалуйста найти фильм про собаку,"Достаточно старый фильм про собаку. Не очень помню содержание, но попытаюсь объяснить. Собака была у полицейского и что то случилось и в результате собака потерялась. Её подобрал ребёнок и прятал в шкафу. Под конец фильма её ранить вроде какой-то плохой персонаж, но собака выживает и её показывают по телевизору. Говоря, что она герой и смотря телевизор полицейский узнает свою собаку и приезжает за ней. Локация в фильме вроде бы новогодняя. Помогите пожалуйста","К-9 Рождественские приключения(2013)\n https//www.kinopoisk.ru/film/708792/ \nБывший полицейский пёс по кличке Скут попадает в беду, \nно от неминуемой гибели его спасает девочка Кэсси.",['Ко мне мух ии тар'],https://otvet.mail.ru/question/229645219
,,"Северное море, Техас\nhttps//www.kinopoisk.ru/film/538370/\nСегодня я пойду домой один\nhttps//www.kinopoisk.ru/film/580304/\nМальчики\nhttps//www.kinopoisk.ru/film/809900/","['Гачимучи посмотри.', 'С любовью, Саймон\\nНазови меня своим именем\\nНу и не совсем миловидный - Убей своих любимых', 'я люблю тебя, филипп моррис!', 'Шепот богов\\nТабу', 'Переживая за боя\\nБархатная золотая жила', 'Полное затмение\\nНазови меня своим именем']",https://otvet.mail.ru/question/221158256
,"Фильм 1980-1984г приблизительно,был на Московском кино фестивале. Помню только сюжет Они любят друг друга, катаются на велосипеде.дождь она заболевает,её помещают в барокамеру ,он её навещает,каждый раз приносит ей цветы,ждут когда можно будет её излечить,когда её излечивают она молода он состарился, они ложатся в постель она молода ,он умирает . что это за фильм?",Долгое возвращение (1975) \n https//www.kinopoisk.ru/film/132471/,['Фильм Асталависта по славянски 3'],https://otvet.mail.ru/question/233293105
ППомогите найти фильм,"Увидел фильм но не название,фильм про богатую семью был отец который изболовал своих 3 детей, и хотел все исправить он подстроил что на них будет облава,и они уехали в какой то дом в лесу",\Мажоры на мели\ (2021 г.)\nhttps//www.kinopoisk.ru/film/1407526/,[],https://otvet.mail.ru/question/227350579
,"Лет пять или даже шесть назад встретил, смотря телевизор, один фильм. Сюжет особенно не помню, только некоторые куски. Фильм был русский, в сюжете присутствовала полиция и персонаж-таксист, помогавший главному герою в бандитских стычках. К тому же был какой-то продажный полицейский, когда-то в сюжете удушивший проститутку-предательницу пакетом. Фильм показывался, как нетрудно догадаться, по НТВ. Очень хотелосб бы его отыскать и пересмотреть. Помогите вспомнить, если у вас есть сведения","Берегись автомобиля, я пологаю?",['Такси'],https://otvet.mail.ru/question/234554882
,"помогите найти фильм по скуби-ду. это был именно фильм (не корпорация тайна). в начале самом скуби в приюте для животных, в клетке. и его то ли забирают, то ли он сбегает из нее, но бежит в библиотеку, в которой сидит вся компания. в детстве его смотрела, помогите найти",Скуби-Ду 3 Тайна начинается (ТВ,['Bathory reaper'],https://otvet.mail.ru/question/233722800
Помогите найти фильм,"Я помню в году так 2013 показывали его или сериал, или фильм из нескольких частей ,вроде русский фильм. (по Стс показывали)\nГруппа людей (где-то 4-5) попадают через речку вроде в прошлое \nНе мы из будущего и не туман) \nТам какой-то вирус бродит \nИ они попадают в какой-то бункер \nТам вирус какой-то исследует вроде один человек \nИ еще вроде они попали в деревню какую-ту с отшельниками или кем-то, еще помню сцену с ппш вроде стреляли по какому человеку зомби, у них вроде у всех лбы были зашиты . (у больных)\nПо-моему они потом в конце решили нырнуть, но остались там \nЯ помню еще, их снимали на камеру , как в реальных пацанах , на каком-то фоне, и они что-то говорили на видео",0,[],https://otvet.mail.ru/question/231749192
,"Кароч, натыкалась по первому, вроде бы шёл, на фильм или серик \nСюжет такой дибильный, что вот вспомнила про него , а найти не могу \nМожет быть кто смотрел сие шедевр и подскажет, только не спрашивайте зачем мне \nТам значит про сельскую любовь какой то девки и чёткого пацанчика \nКоторого посему то всё называли в уменьшительно ласкательной форме\nВроде бы он был Алёшей \nИ они там на сеновале, и там и сям \nИ короче к ней лип как-то депутат на джипе \nИ дед её хотел так богатого затя, что разлучил внучку с Алёшей \nАлёша то нищий \nИ это так тупо было, он просто сказал поцу типо она тебя не любит, и он поверил и убежал в слезах\nА деваха то подумала, что он от неё убежал и уехала на джипе в город, где вышла за депутата \nА депутат то козёл оказался и потом в конце деда то чуть не грохнул \nОн стрелял в него, принёс кароч себя в жертву, что бы внучка воссоединилась с Алёшей \nВот таки дела \nКто скажет, что это за опупенный фильм буду оч признательна",Бригада,"['фильм Джон Уик', '3 богатыря часть 2 (2021)', 'Холоп']",https://otvet.mail.ru/question/231632584
,"В общем как-то ночью вспомнился один фильм(я не знаю фильм это или нет. Просто для простоты буду назвать это фильмом), я помню некоторые детали оттуда, но всё никак не могу найти. Может кому-то придёт на ум после краткого описания\nВ общем помню, что гг туда приехал на поезде и там был деревянный дом такой прям скудный, а за ним стоял забор за который типа нельзя было заходить. Если не ошибаюсь, там была какая-то тема, что лес двигался или что-то другое было с лесом не так. В общем по итогу оказалось, что лес на самом деле это такой большущий гигант. Там сцены помню были ещё очень эпичные, когда он поднимал себя, тобишь лес\nВозможно у кого-то получится напомнить что это за фильм/аниме/мультфильм?",Как приручить медведя (2011)\n  https//www.kinopoisk.ru/film/581218/,"['стальной гигант', 'А там не было мальчика в маске?', 'ходячий замок хаула?']",https://otvet.mail.ru/question/229672682
Ищу фильм посмотреть на досуге,"Всем привет, я ищу фильм 20 века, религиозный ужастик, как мне вспоминается, в фильме дьявол зачал ребёнка, а после его рождения, женщина сразу же убивает своё чадо","http//gucci-film.com/42917-stigmaty-1999.html\nСтигматы советую посмотреть, мне понравилось)","['Как вариант \\nРебёнок Розмари (1968) https//www.kinopoisk.ru/film/8425/', 'может Омен']",https://otvet.mail.ru/question/228597091
,"Помогите найти фильм где чувак в жёлтой футболке заставил съесть медузу другово чела чтоб разрешил его взять, еще фильм как история которую он расказывал детям, он выходил на крыло сомолета еще, чуть не умер с челом на водяном мотацикле по среди океана , попали на остров там было племя и у их важака была борода трусы. ну он был тупой\nфильм этого века смотрел довно гдето в 2014 или позже или раньше.\nвнизу нарисовал кадры из фильма где он сам на крыле самолета и скан его мозга.",Брис Великолепный (2005)\n https//www.kinopoisk.ru/film/82204/ \nСупер Брис (2016)\n https//www.kinopoisk.ru/film/932568/,[],https://otvet.mail.ru/question/234270745
,"Вкратце, этот фильм или сериал отечественного производства про вторую мировую войну, помню его частями, один из фрагментов тот где герой или кто-то ещё сбегает зарывшись в землю, концовка фильма или сериала давольно плачевная, предатель убивает нашего герой, его тело остаётся где его и убили, ещё у героя были часы. \n\nСпасибо тем кто хоть предпрологаеи, и соболезную охотниками за баллами.",0,[],https://otvet.mail.ru/question/231813391
,"помню только то, что пожилой мужчина стоял на стуле в пачке, как у балерин, он повесил на шею петлю, и повесился, хотя вроде не планировал, случайно.\nне помню жанр, местами вроде комедия. смотрела только часть, очень давно, плохо помню",0,[],https://otvet.mail.ru/question/231342429
Помогите найти фильм,Смотри\n https//poisk.vsetam.net/14560-pochka-2022-8-18.html,Через впн посмотри,['Ещё вариант \\n здесь!'],https://otvet.mail.ru/question/230639054
,"Ищу фильм, зарубежный жанр ужасы, вышел или вернее показывали где то в 96-98 годах, кратко содержание фильма выглядит так, некий ученый типа франкенштейна у себя дома где то далеко в окраинах леса в подвале проводит эксперименты по скрешиванию днк человека с какими то животными, следуя по стариной книге, и тщательно скрывает свою деятельность от девушки и ее друзей, они начинают расследовать это дело и потом раскрывают его зловещий план, в конце фильма девушка убивает его используя какую то кровь, это все что осталось в памяти хочу снова найти этот фильм, если вы тоже видели то поделитесь названием фильма.",Остров доктора моро,[],https://otvet.mail.ru/question/230248249
Хочу найти фильм по отрывку,"Я помню один момент из фильма, где собака убежала в лес и вернулась без задней части тела, кровавый фильм был",ЛЕСНОЙ БОЛВАН,"['Нечто?', 'Пила 9', 'кладбище домащних животных', 'Рикер 2005 \\nсамое начало фильма']",https://otvet.mail.ru/question/227919529
,Что за актёр и из какого фильма?,0,[],https://otvet.mail.ru/question/233635890
Помогите найти фильм,"Помогите найти фильм 80х годов. Полицейский в метро охотился на монстра, потом ему дали напарника который в монстра не верил, но в итоге они оба встречаю монстра и начинают на него охоту. Помню что один из полицейских все время курил сигару, у монстра было три пальца и он оставил на полицейском три царапины",0,[],https://otvet.mail.ru/question/231280636
Помогите найти фильм СССР,"В памяти есть один фильм. про маленького мальчика, который насколько я помню поругался с мачехой и отцом, и сбежал из дома, потом прибился к мужикам на лесосплаве, работал с ними, особо ярко запомнилась картина как один из мужиков при попытке убрать залом, сорвался с бревен и утонул, в кадре остался только его багор воткнутый в бревно... в конце фильма ему дали расчет. дескать заслужил и кажется он уехал в город. помогите найти фильм",0,[],https://otvet.mail.ru/question/232457977
,Фильм русский где два друга со школы. Строят бизнес в (мухосранске) Начинают с написания с написания порносайта. Потом открывают сеть магазинов у них его отжимают. Потом занимаются перепродажей китайской техники. Там их вербует министерство на продажу каких-то планшетов. А в конце один другого подставляет. Фильм мало известный смотрел давно на ютубе. Хочу еще раз посмотреть а найти не могу,Бизнесмены братья казахи сняли,[],https://otvet.mail.ru/question/232072863
,ГДЕ НАЙТИ ФИЛЬМ УЩЕЛЬЕ ВЕДЬМ?,В Гугле или Яндексе,"['Как найти ущелье у ведьмы ?', 'на рутрекере вестимо']",https://otvet.mail.ru/question/230003676
,"Ищу фильм, Американский",Домашнее видео \n https//www.kinopoisk.ru/film/655618/,[],https://otvet.mail.ru/question/229427044
Ищу фильм по фрагменту,В одном из американских фильмов главный герой постоянно встречает бомжа,Мимино,['Перерыв на бездумье'],https://otvet.mail.ru/question/228265730
Помогите найти фильм с длинным названием,"Хотел посмотреть, но забыл название. Фильм американский,  Название очень длинное, и там как будто перечисление каких то географических объектов, по ощущению",Три билборда на границе эббинга мисури?,[],https://otvet.mail.ru/question/227621173
,"То ли японский или корейский, может даже китайский фильм. Главный герой мальчик школьник который находит маленького раненного типо хомячка, и берется лечить его. Он пытается ему дать молоко, но тот его не пьёт хотя мальчик говорит что надо ему для выздоровления. Хомяк понимает человеческий язык, но не говорит а лишь писклявит. В результате мальчик угадывает его имя",Великая война гоблинов / Великая война ёкаев (2005)\n https//www.kinopoisk.ru/film/88258/,['cj7'],https://otvet.mail.ru/question/233352485
,"Помогите найти азиатский фильм. Единственное помню что какой-то парень выходит из учреждения( школа\\колледж) а там его ждет мужчина, который облокотился на крутую желтую машину( может быть супра).",0,[],https://otvet.mail.ru/question/231577517
,Здравствуйте,"ну фильм не знай, и про банду байкеров не знаю, но есть мульт хранители снов",[],https://otvet.mail.ru/question/230061846
,"это может быть и Интерстеллар, и Cargo",0,[],https://otvet.mail.ru/question/228401959
Помогите найти фильм,"Фильм про революцию в колумбии или кубе, или вьетнам. Точно не помню. Там какое-то количество людей спасалось в доме богатого человека или топового гос служащего и он же их оберегал, их кто-то оберегал пока в городе было не спокойно. Фильм про события 1980-1999 годов в этот период. Снят в 2010-2015",Возможно,['негры 2'],https://otvet.mail.ru/question/231661533
Мама ищет фильм,"Фильм. Он косметолог, Она - экскурсовод в Питере. Меж ними роман, хотя у Неё есть муж. Позже у Них рождается ребёнок. Фильм типа современной Анны Карениной, но со счастливым концом.й","Петербург. Только по любви, не?",[],https://otvet.mail.ru/question/231721545
Помогите найти фильм про школьника сша и перемещение в другой мир через котел старый,Помогите найти фильм про школьника сша и перемещение в другой мир через котел старый там были азиаты и фантастика главного героя обучал какой то воин сражатся он сначала не хотел но потом начал в итоге спас азиатскую девушку если не ошибаюсь они ещё в нашем мире гуляли и по магазинам ходили,0,[],https://otvet.mail.ru/question/228759546
Помогите найти фильм,"Здравствуйте)  \nМожет вы поможете мне найти, раньше часто мелькал в инсте фрагмент черно-белого фильма, супружеская пара лежит на корабле и муж в какой-то момент начинает говорить жене комплименты и обнимать, а она отвечает","Говорит она что, мол",['в менстре такое было.'],https://otvet.mail.ru/question/227946716
Помогите найти фильм про снайперов помню только одну цитату,Может,саботаж 1996\n https//www.kinopoisk.ru/film/3763/,[],https://otvet.mail.ru/question/229035865
Помогите найти фильм,"Хочу найти фильм! Фильм русский. Помню отрывок, где мужик в подъезде курил и он докопался до группы мужиков, которые выносили мебель с квартиры. По итогу началась словесная перепалка, и мужик, который курил достал пистолет и направил на одного из человек этой группы. После этого другой мужик из этой группы сказал, что этот мужик с пистолетом какой главарь банды и всё такое, и то что не стоит на него рыпаться.",спроси у нейросетей,[],https://otvet.mail.ru/question/234751259
Помогите найти фильм по описанию,"Плохо помню детали, смотрел еще на касетах соответственно фильм старый. \nБыла группа вооруженных людей они сражались с каким то инопланетянином по типу Хищника. Этот инопланетянин мог очень быстро передвигаться и за ним тянулся зеленый свет.\nПомню была финальная битва, где то за городом на ранчо(там были Амбары, грунтовая дорога и т.д) \n\nУже неделю не могу найти, если кто то поможет буду очень благодарен!",Монстр точно был инопланетянином или просто какая-то тварь неведомая ?,[],https://otvet.mail.ru/question/231148743
ПОМОГИТЕ НАЙТИ ФИЛЬМ МИЛОДРАММА,"Блин помогите) не могу фильм найти, смотрел давно.. Милодрамма (иностранный).. Кароче парень работал в обувном, влюбился в девушку. Познакомились тыры пыры.. она его ждала в парке, но они разминулись.. И паралельно её лучшая подруга мутила с этим парнем (он не знал об этом)... чё дальше не помню, но в конце они встретились в аэропорту, и я зарыдал... ПОМОГИТЕ))))",иди уроки делай мИлодрамма,"['иди уроки делай', 'Сапожник?', 'я чуть не зарыдал от такой мИлой драмы!']",https://otvet.mail.ru/question/229078268
Найти фильм по описанию,"Здравствуйте, смотрел в детстве фильм с дедушкой и он отложился в памяти по ужасным кадрам, где судя по всему фашисты топили русских в клетках в больших аквариумах, но фильм найти так и не смог. Хочется пересмотреть сейчас во взрослом возрасте,, чтобы убрать эти воспоминания. Никто не подскажет название? Все что помню написал",0,[],https://otvet.mail.ru/question/233368158
Помогите найти фильм,"Привет, помогите найти фильм. Действие происходит в магазине. Врывается грабитель и требует деньги. Один из людей угрожает ему шуруповертом, убеждая, что это пистолет. В итоге грабитель верит и возвращает все, что украл. Человек с шуруповертом нажимает на кнопку и тот действительно стреляет.\nФильм зарубежный с русскими субтитрами.",Проделки будущего президента или как манипулировать стадом.,"['В прослушке такое было, в сериале. Там мочили людей каким то стреляющим перфоратором']",https://otvet.mail.ru/question/232610504
Помогите найти фильм ужастик,"Семья переезжает в дом какого-то математика,который был помешан на работе,не помню что с ним стало.по всему лома какие-то цифры,знаки.когда дома никого не было кроме дочки,перегорел свет и ей нужно было спуститься в подвал,где 10 ступеней.она говорила с мамой,спускаясь и считая до 10,до продолжила 11,12 и по итогу девочка пропала\nПомогите найти,фильм шикарный!!",Заклятье Спуск к дьяволу (2021)  https//www.kinopoisk.ru/film/4440662/,['Дом Перельмана) шутка.\\nМожет Синистер?'],https://otvet.mail.ru/question/230054336
Помогите найти фильм,"Фильм производств страны Китай или Япония, хз. Смотрел его в году 2010 на диске. Название было указанное человек-дракон. В самом фильме я помню несколько сцен. Первая. Идёт дождь, спецназ хватает гл. героя окружают его, наставляют на него автоматы и он превращается в чёрного дракона и вроде всех раскидывает. Вторая, двое учащихся заходят в школу, в класс. Вдруг они видят большого человека с большой головой который что то говорит им, он говорит, говорит и что то происходит и он умирает. Он сидел в лаве или типо того.",ты под героином?,['Лунтик'],https://otvet.mail.ru/question/229857208
,"азиатский фильм,предположительно японский/корейский,ужастик,мертвая девочка похожая на девочку из звонка внешними чертами и мальчик в качестве главного героя,помойму все происходит в отеле или в квартирнике,помойму у главного героя была сестра и ее в последствии убили,сам он ВРОДЕ сирота. атмосфера этого фильма ночная и зловещая,помню лишь обрывки из позднего детства. хотелось бы пересмотреть.",мимино,['Проклятие (2002)?'],https://otvet.mail.ru/question/233916379
,"Год выпуска девяностые-начало нулевых. Актеры малоизвестные. Фильм, вроде бы, производства США. Фантастика. \n\nПо телевизору сообщают, что будет какая-то вспышка на Солнце, если не ошибаюсь... Завтра, в общем, не наступит",Последние часы 2014,[],https://otvet.mail.ru/question/231860158
Помогите найти фильм по описанию про зомби,"Старый фильм и не помню самого названия и голову уже сломал за пару дней от попыток вспомнить название.\n\nФильм начинается с того что взрослый парень едет по пустыне и на первый взгляд попадает в заброшенную деревню, заходит в бар \nТам стоял официант повернутый к бутылкам и тёр бокал \nА ещё сидело два посетителя \nКоторые все молчали \nИ этот парень начал с ними разговаривать а те не отвечали и потом как выяснилось что это все зомби \nИ тот приезжай начал бежать от них и стрелять \nА потом ещё у этих зомби был самый сильный зомби \nПотом этого приезжего убили \nИ началась другая история \nГде компания людей приехала в эту же деревню и их там убивали",0,[],https://otvet.mail.ru/question/230980817
Помогите найти фильм,"Фильм был про наркоманов, цветной",страх и ненависть в лас вегасе?),"['Брат 2', 'Реквием по мечте', 'Дети Вокзала по описанию похож, но этот фильм намного раньше сняли']",https://otvet.mail.ru/question/229713789
Ищу фильм фантастику,"Ищу фильм, сама не смотрела, сестра посоветовала. Кокой-то богач под 60, заболел, ему предложили переселение души в молодое и здоровое тело, потом чтоб в молодом теле не начал мозг снова работать и вспоминать прошлое, ему нужно пить таблетки. Это всё что она помнит, буду благодарна если тут кто-то поймет в чем речь.","может Вне себя?\n\nОдин ученый нашел способ победить смерть с помощью имплантации своего сознания в молодое тело, созданное методом генной инженерии. Операция эта дорогостоящая и проводится подпольно, а поэтому доступна лишь ограниченному кругу лиц. Умирающий пожилой бизнесмен решается на это и получает возможность прожить еще одну жизнь. Однако когда ему приоткрывается тайна происхождения нового тела, за ним начинает охоту секретная организация, которая не остановится ни перед чем, чтобы защитить свои интересы","['Вне/себя с Беном Кингсли может быть?', 'Self/less чтоли? Не знаю как в русском прокате называется', 'кто ищет тот найдет !', 'я смотрел, названия не помню, потому что фильи этот ГАВНО по сравнению с фильмами \\ванильное небо\\, \\ особое мнение\\,\\остров\\,\\обливион\\ и т. д.', 'похоже на \\Вне себя\\ и на немецкий фильм \\Обмен\\ 2010 г. , в котором пожилая пара купила себе тела молодых, темнокожих. после перемещения в новые тела они должны были постоянно принимать какие-то таблетки, чтобы не давать сознанию хозяев тела вернуться обратно\\nhttp//filmpotok.ru/film/obmen.html', 'Вне/себя http//kinohabr.net/fantastika/5343-vne-sebya-2015.html']",https://otvet.mail.ru/question/214369494
